Genre,Artist,Track Name,Full Multitrack Link,Excerpt Multitrack Link,Number of Tracks (Excerpt),Number of Tracks (Full),Full Mix Preview,Excerpt Mix Preview,Unmastered WAV,Forum Link,Podcast Link
Acoustic / Jazz / Country / Orchestral,3D-MARCo Project,'A Capella',https://zenodo.org/record/3477602/files/09%203D-MARCo%20Samples_Acappella.zip?download=1,,,65,https://previews.cambridge-mt.com/3DMARCoACapella_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=867,
Acoustic / Jazz / Country / Orchestral,3D-MARCo Project,'Piano Solo 1',https://zenodo.org/record/3477602/files/07%203D-MARCo%20Samples_Piano%20solo%201.zip?download=1,,,69,https://previews.cambridge-mt.com/3DMARCoPianoSolo1_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=825,
Acoustic / Jazz / Country / Orchestral,3D-MARCo Project,'String Quartet',https://zenodo.org/record/3477602/files/04%203D-MARCo%20Samples_Quartet.zip?download=1,,,69,https://previews.cambridge-mt.com/3DMARCoStringQuartet_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=808,
Acoustic / Jazz / Country / Orchestral,The Abletones Big Band,"'Corine, Corine'",https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AbletonesBigBand_CorineCorine_Full.zip,,,19,https://previews.cambridge-mt.com/CorineCorine_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=204,
Acoustic / Jazz / Country / Orchestral,The Abletones Big Band,'Song Of India',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AbletonesBigBand_SongOfIndia_Full.zip,,,18,https://previews.cambridge-mt.com/SongOfIndia_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=238,
Acoustic / Jazz / Country / Orchestral,Alejo Granados,'Rumba Chonta',https://mtkdata.cambridgemusictechnology.co.uk/MTK007/AlejoGranados_RumbaChonta_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/AlejoGranados_RumbaChonta.zip,18,20,https://previews.cambridge-mt.com/RumbaChonta_Full_Preview.mp3,https://previews.cambridge-mt.com/RumbaChonta_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=224,
Acoustic / Jazz / Country / Orchestral,Andrew Cole,'Dead Roses',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/AndrewCole_DeadRoses_Full.zip,,,33,https://previews.cambridge-mt.com/DeadRoses_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=8,
Acoustic / Jazz / Country / Orchestral,Andrey Yaroshinsky & The Gnessin Academy Chamber Orchestra,"W.A. Mozart's
'Piano Concerto No.12 K414 (Allegro)'",https://mtkdata.cambridgemusictechnology.co.uk/MTK015/GnessinAcademyOrchestra_PianoConcertoK414_Full.zip,,,10,https://previews.cambridge-mt.com/PianoConcertoK414_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=426,
Acoustic / Jazz / Country / Orchestral,Angela Thomas Wade,'Milk Cow Blues',https://mtkdata.cambridgemusictechnology.co.uk/MTK002/AngelaThomasWade_MilkCowBlues_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK002/AngelaThomasWade_MilkCowBlues.zip,10,11,https://previews.cambridge-mt.com/MilkCowBlues_Full_Preview.mp3,https://previews.cambridge-mt.com/MilkCowBlues_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=9,
Acoustic / Jazz / Country / Orchestral,Anna Blanton,'Rachel',https://mtkdata.cambridgemusictechnology.co.uk/MTK010/AnnaBlanton_Rachel_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK010/AnnaBlanton_Rachel.zip,8,10,https://previews.cambridge-mt.com/Rachel_Full_Preview.mp3,https://previews.cambridge-mt.com/Rachel_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=289,
Acoustic / Jazz / Country / Orchestral,Anna Blanton,'Waves',https://mtkdata.cambridgemusictechnology.co.uk/MTK010/AnnaBlanton_Waves_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK010/AnnaBlanton_Waves.zip,13,13,https://previews.cambridge-mt.com/Waves_Full_Preview.mp3,https://previews.cambridge-mt.com/Waves_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=346,
Acoustic / Jazz / Country / Orchestral,Araujo,'The Saga Of Harrison Crabfeathers',https://mtkdata.cambridgemusictechnology.co.uk/MTK016/Araujo_TheSagaOfHarrisonCrabfeathers_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK016/Araujo_TheSagaOfHarrisonCrabfeathers.zip,11,13,https://previews.cambridge-mt.com/TheSagaOfHarrisonCrabfeathers_Full_Preview.mp3,https://previews.cambridge-mt.com/TheSagaOfHarrisonCrabfeathers_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=450,
Acoustic / Jazz / Country / Orchestral,Asam Classical Soloists,"J.S.Bach's
'Jesu bleibet meine Freude'",https://mtkdata.cambridgemusictechnology.co.uk/MTK003/AsamClassicalSoloists_JesuJoy_Full.zip,,,5,https://previews.cambridge-mt.com/JesuJoy_Full_Preview.mp3,,https://previews.cambridge-mt.com/JesuJoy_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=148,
Acoustic / Jazz / Country / Orchestral,Asam Classical Soloists,"G.F.Handel's
'Non Lo Diro Col Labbro'",https://mtkdata.cambridgemusictechnology.co.uk/MTK003/AsamClassicalSoloists_NonLoDiroColLabbro_Full.zip,,,5,https://previews.cambridge-mt.com/NonLoDiroColLabbro_Full_Preview.mp3,,https://previews.cambridge-mt.com/NonLoDiroColLabbro_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=155,
Acoustic / Jazz / Country / Orchestral,The Balazs Daniel Boogie Woogie Trio,'Own Way To Boogie',https://multitracks.cambridge-mt.com/BalazsDanielBoogieWoogieTrio_OwnWayToBoogie_Full.zip,https://multitracks.cambridge-mt.com/BalazsDanielBoogieWoogieTrio_OwnWayToBoogie.zip,21,22,https://previews.cambridge-mt.com/OwnWayToBoogie_Full_Preview.mp3,https://previews.cambridge-mt.com/OwnWayToBoogie_Preview.mp3,https://previews.cambridge-mt.com/OwnWayToBoogie_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=391,
Acoustic / Jazz / Country / Orchestral,Barnstar!,'Believer',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/Barnstar_Believer_Full.zip,,,11,https://previews.cambridge-mt.com/Believer_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=497,
Acoustic / Jazz / Country / Orchestral,Barnstar!,'You Don't Know',https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/Barnstar_YouDontKnow_Full.zip,,,11,https://previews.cambridge-mt.com/YouDontKnow_Full_Preview.mp3,,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=538,
Acoustic / Jazz / Country / Orchestral,Blue Lit Moon,'Dad's Glad',https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR1106_BlueLitMoon_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR1106_BlueLitMoon.zip,11,13,https://previews.cambridge-mt.com/1106_Remix.mp3,https://previews.cambridge-mt.com/1106_Preview.mp3,https://previews.cambridge-mt.com/DadsGlad_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=10,
Acoustic / Jazz / Country / Orchestral,Bolz & Knecht,"Brahms'
'Hungarian Dance No. 5'",https://multitracks.cambridge-mt.com/BolzAndKnecht_HungarianDanceNo5_Full.zip,https://multitracks.cambridge-mt.com/BolzAndKnecht_HungarianDanceNo5.zip,3,3,https://previews.cambridge-mt.com/HungarianDanceNo5_Full_Preview.mp3,https://previews.cambridge-mt.com/HungarianDanceNo5_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=343,
